98N0018,-90.98056
97N9000,-122.26588
97N9001,-123.14818
97N9002,-130.38304
97N9003,-131.31724
97N9004,-124.25884
97N9005,-124.3315
97N9008,-127.6012
97N9009,-123.5011
97N9010,-123.45958
97N9011,-127.09258
97N9012,-134.7115
97N9013,-133.35172
97N9015,-120.60508
97N9017,-123.94744
97N9018,-128.70148
98N3000,-108.8653
98N3001,-102.6373
98N3002,-123.82288
98N3003,-120.09646
98N3004,-118.69516
98N3005,-69.37978
96N2042,-138.93616
96N2043,-125.0581
96N2044,-132.20992
96N2046,-125.71204
96N2047,-148.39234
96N2014,-111.74056
96N2015,-119.5048
96N2016,-148.19512
96N2017,-145.08112
96N2018,-157.4437
96N2019,-158.29486
96N2020,-148.80754
96N2021,-151.6828
96N2022,-158.54398
96N2023,-149.78326
96N2026,-117.43918
96N2027,-117.43918
96N2028,-156.78976
98N1061,-79.83244
98N1062,-89.26786
98N1071,-95.3194
98N1074,-73.8847
98N1076,-77.59036
98N1099,-79.71826
97N5077,-132.89456
97N5082,-118.35218
97N5085,-125.4521
97N5086,-130.25804
97N5088,-126.2825
97N5089,-126.68732
97N5091,-124.1546
97N5093,-129.10586
97N5094,-130.82894
97N5095,-128.5661
97N5096,-106.93418
97N5099,-128.01596
97N5100,-56.7365
97N5101,-126.8534
97N5102,-112.25912
97N5103,-118.0823
97N5104,-131.58668
97N5105,-123.3761
97N6643,-110.7655
97N6644,-112.71694
97N6645,-115.16662
97N6646,-117.52288
97N6647,-108.55456
97N6648,-114.36736
97N6649,-97.8943
97N6650,-111.30526
97N6651,-116.02816
97N6652,-107.43352
97N6653,-62.92408
97N6654,-120.60574
97N6655,-125.18332
97N6656,-98.16418
97N6657,-114.2947
97N6658,-119.6404
97N6659,-98.71432
97N6662,-85.58362
97N6663,-115.23928
97N6664,-95.94286
97N5362,-67.53918
97N5363,-66.15864
97N5365,-71.27598
97N5366,-71.07876
97N5370,-63.97884
97N5374,-57.21108
97N5375,-68.96124
98N3479,-82.2684
98N3480,-75.80166
98N3481,-72.22056
98N3482,-71.058
98N3483,-61.93398
98N3484,-57.6678
98N3488,-73.55958
98N3491,-58.2906
97n5107,-104.53684
97n5108,-115.95484
97n5109,-111.68866
97n5110,-113.20414
97n5111,-95.74498
97n5112,-123.73984
97n5113,-129.8848
97n5114,-107.89996
97n5129,-114.91684
97n5130,-105.19078
97n5131,-109.4881
97n5132,-105.10774
97n5133,-104.79634
97n5134,-112.25956
97n5135,-97.33312
97n5136,-81.1507
97n5137,-108.1906
97n5138,-110.02786
97n5139,-108.22174
97n5140,-109.6438
97n5141,-84.94978
97n5142,-129.5215
97N5143,-100.11452
97N5144,-103.9655
97N5145,-97.22888
97N5146,-113.71232
97N5149,-102.08672
97N6393,-87.49336
97N6394,-87.82552
97N6395,-87.71134
97N6396,-96.3475
97N6397,-94.40644
97N6398,-90.379
97N6399,-73.99936
97N6400,-90.3271
97N6401,-80.06128
97N6402,-84.11986
97N6403,-94.10542
97N6404,-80.11318
97N6406,-71.91298
97N6407,-79.2724
97N6408,-81.74284
97N6409,-66.06904
97N6410,-72.93022
97N6411,-72.34894
97N6412,-84.40012
97N6413,-85.26166
97N6415,-72.5773
97N6417,-82.6459
97N6418,-77.3002
97N6419,-77.70502
98N2027,-113.44306
98N2034,-99.5131
98N2036,-116.5882
98N2038,-97.84192
98N2040,-95.06008
98N2043,-108.52294
98N2044,-85.83226
98N2045,-82.75978
98N2046,-79.24096
98N2050,-101.30884
98N2052,-63.95122
98N2053,-94.5307
98N2060,-124.49776
